"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Peru","1997","450490","Articles of agglomerated cork","Import","177172","22702","Weight in kilograms","22702"
"Peru","1997","450490","Articles of agglomerated cork","Export","55838","14357","Weight in kilograms","14357"
"Peru","1996","450110","Natural cork, raw or simply prepared","Import","1656","1000","Volume in litres","4167"
"Peru","1996","450190","Waste cork, crushed, granulated or ground","Import","10207","4511","Volume in litres","18797"
"Peru","1996","450200","Natural cork, debacked, roughly squared, in blocks et","Import","3283","710","Volume in litres","2959"
"Peru","1996","450310","Corks and stoppers, natural cork","Import","142818","5447","Weight in kilograms","5447"
"Peru","1996","450390","Natural cork articles other than corks or stoppers","Import","37673","3434","Weight in kilograms","3434"
"Peru","1996","450390","Natural cork articles other than corks or stoppers","Export","39","3","Weight in kilograms","3"
"Peru","1996","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","192666","88705","Weight in kilograms","88705"
"Peru","1996","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","65742","23358","Weight in kilograms","23358"
"Peru","1996","450490","Articles of agglomerated cork","Import","164643","21334","Weight in kilograms","21334"
"Peru","1996","450490","Articles of agglomerated cork","Export","77065","14372","Weight in kilograms","14372"
"Peru","1995","450190","Waste cork, crushed, granulated or ground","Import","4324","429","Volume in litres","1788"
"Peru","1995","450200","Natural cork, debacked, roughly squared, in blocks et","Import","1665","339","Volume in litres","1413"
"Peru","1995","450310","Corks and stoppers, natural cork","Import","163481","9339","Weight in kilograms","9339"
"Peru","1995","450390","Natural cork articles other than corks or stoppers","Import","38525","1565","Weight in kilograms","1565"
"Peru","1995","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","187310","92637","Weight in kilograms","92637"
"Peru","1995","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","7997","1429","Weight in kilograms","1429"
"Peru","1995","450490","Articles of agglomerated cork","Import","158930","17967","Weight in kilograms","17967"
"Peru","1995","450490","Articles of agglomerated cork","Export","72343","17379","Weight in kilograms","17379"
"Peru","1994","450110","Natural cork, raw or simply prepared","Export","2159","597","Volume in litres","2488"
