year,COUNTRY,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2002,China,8415.4,8020.8,7259,9097.6,9846.9,10727.2,11213.2,12671.4,12291.5,11455,12569.6,11625,125192.6,1569.3,1529.5,1620.5,1544.5,1773.9,2205.9,1848,1839.8,2023.7,1962.7,2160.8,2049.1,22127.7
2003,China,11403.49758,9629.62711,10110.04456,11521.85238,11884.70149,12127.30143,13438.63509,13764.86701,14747.52542,16458.31761,14156.94796,13192.77926,152436.0969,2069.831893,2048.670815,2423.104708,2121.94668,1984.318683,2119.621137,2067.405578,2034.428227,2090.976796,2778.336455,3319.692649,3309.609238,28367.94286
2004,China,14089.0155,11267.14768,13800.11997,14744.78415,15067.11092,16887.76259,17562.09988,18067.86705,18386.94575,19718.15748,19678.99214,17412.03083,196682.0339,2620.489793,2928.991616,3361.910701,2734.55386,2835.052068,2764.217124,2618.793915,2620.970808,2823.070552,2946.743822,2938.175371,3234.802826,34427.77246
2001,Singapore,1499.3,1305.5,1372.6,1290,1279.8,1186.8,1204.5,1203.4,1065.9,1289.1,1287.7,1015.4,15000,1434.4,1541.4,1689.1,1232.9,1550.2,1452.7,1434.2,1370,1523.1,1765.8,1475.2,1182.8,17651.8
2002,Singapore,1198.7,1050.3,1179.3,1208.6,1300.1,1022.2,1244.8,1375.4,1232.3,1333.9,1355.5,1301.2,14802.3,1385.8,1069.1,1704.8,1329.1,1234.8,1538.2,1322.5,1600.4,1133,1582.9,1302.4,1014.8,16217.8
2003,Singapore,1420.845862,1106.227733,1231.278625,1333.097107,1285.027844,1365.36207,1238.684354,1065.194017,1345.523247,1341.594993,1124.349927,1280.560965,15137.74674,1069.152461,1425.38967,1565.553639,1146.102591,1312.044887,1340.535391,1598.598486,1846.576521,1258.428672,1449.64287,1262.245404,1285.904331,16560.17492
2004,Singapore,1147.546653,1140.386621,1273.6526,1249.098288,1289.01032,1328.713245,1409.513099,1372.651458,1378.064269,1405.336314,1218.539175,1157.867398,15370.37944,1231.444194,1389.16339,1899.522147,1670.379666,1856.54708,1741.594449,1743.881517,1913.361295,1686.90245,1541.050232,1308.799766,1414.72696,19397.37315
2001,Taiwan,3069,2552.9,3166.9,2893.3,2781.6,2816.6,2805.3,2827,2560.5,2890.2,2585.5,2425.5,33374.3,1812.8,1772.2,1702.9,1664,1432.8,1364.8,1513.1,1362.1,1379.7,1365.1,1413.7,1338.5,18121.7
2002,Taiwan,2485.6,2285.4,2476.9,2731.4,2639.1,2879.6,2878.8,2901.6,2773.7,2585.1,2765.5,2745.2,32147.9,1223.8,1151.7,1573.2,1515.8,1537.7,1760.3,2065.5,1614,1588.3,1503.9,1422.5,1425,18381.7
2003,Taiwan,2717.274454,2203.937371,2494.396333,2574.102527,2571.314409,2621.915163,2719.645659,2709.269629,2814.80109,2758.343482,2602.188183,2812.239516,31599.42782,1322.167742,1162.874718,1334.803178,1239.51817,1198.882136,1558.678571,1603.821319,1537.944286,1391.336167,1632.627693,1503.680163,1961.549342,17447.88349
2004,Taiwan,2614.909966,2294.007068,2820.255707,2810.245584,2851.37538,3075.246369,2974.565805,3109.025689,3014.432222,3040.026234,3066.381525,2953.111329,34623.58288,1519.542159,1651.160162,2023.414374,1685.906165,1878.925824,1861.914699,1698.463461,1634.535304,1858.726357,1931.19227,1636.439573,2204.975535,21585.19588
2001,Netherlands,835.3,725.3,859.8,831.3,879.7,777.4,734.1,744.5,690.2,888.8,774.6,774.2,9515.2,1808.5,1820.7,1912.1,1756.3,1593.7,1627.1,1289.9,1530.3,1363.1,1500.9,1614.2,1668,19484.8
2002,Netherlands,679.2,714.9,765.3,889,887.7,800,875.4,766,788.7,951.9,823.3,907,9848.4,1460.4,1480.1,1709.8,1714.4,1592.9,1531.2,1353.1,1513.9,1504.5,1475.6,1490.4,1484.4,18310.7
2003,Netherlands,882.690561,849.403128,958.591817,951.354512,824.741278,935.13827,955.33279,877.977037,916.803646,1011.282201,940.596747,848.914109,10952.8261,1529.24688,1549.984337,1861.334493,1816.125209,1590.004788,1666.735782,1523.610593,1610.351088,1585.789051,2031.222185,2081.017375,1849.587517,20695.0093
2004,Netherlands,853.430368,929.093761,1035.407426,975.768894,959.424771,1034.098523,1019.718338,1109.761575,1029.583836,1256.133925,1155.713625,1092.394415,12450.52946,1634.91278,2015.788275,2088.288109,2140.614173,1988.579273,1927.620491,1768.190984,2027.502791,2078.832983,2243.937524,1924.830958,2300.602678,24139.70102
2001,Belgium,870.9,841.6,1036.1,816.3,946.3,877,902.7,639.6,699.6,993.2,739.2,795.9,10158.4,1143.1,1142.9,1285.2,1205.1,1255.3,1171.9,995.5,1188.5,1046.2,1016.1,1063.6,989,13502.4
2002,Belgium,733.9,746,869.2,767.9,993.5,821.7,1009.6,602,701.8,942.1,809.2,809.8,9806.7,959,1073.6,1097.9,1070.9,1128.4,1147.4,1085.8,1136.3,1119.7,1223.2,1259.1,1024.8,13326.1
2003,Belgium,774.570524,789.194653,853.817023,763.3794,925.826469,802.152768,982.020422,649.375572,924.002925,951.964181,780.63122,943.885175,10140.82033,1222.693762,1328.570835,1295.471978,1198.294853,1318.4805,1392.64366,1184.184418,1201.664332,1223.919143,1360.873459,1246.804354,1262.452453,15236.05375
2004,Belgium,897.442116,935.866594,1215.743687,1040.603643,1121.59134,1072.246129,1002.716265,869.833062,1024.996728,1040.979532,1058.772709,1165.437355,12446.22916,1236.383591,1271.981412,1540.068338,1410.008883,1469.132137,1389.284016,1402.431399,1406.274888,1334.677075,1456.14125,1448.800636,1505.949824,16871.13345
2001,Brazil,1360,1049.9,1201.5,1077.1,1261.1,1188,1211.1,1428.4,1209.1,1174.6,1182.6,1122.9,14466.3,1265.3,1169,1412.3,1294.8,1485.9,1514.4,1433.7,1476.2,1249.4,1134.4,1344.4,1099.6,15879.4
2002,Brazil,1093,1024.2,1104.3,1250.1,1260.8,1383.5,1399.9,1580.7,1350,1648.5,1295.8,1389.7,15780.5,1016.1,1004.3,1075.5,1058.6,968.5,1017.2,970.4,1134,1052.5,1159.4,1037.4,882,12375.9
2003,Brazil,1434.333961,1305.320522,1535.155292,1426.8636,1397.852596,1478.651876,1647.269153,1634.252989,1465.029595,1634.709673,1348.425987,1602.470755,17910.336,809.298446,811.927089,936.9169,847.168592,882.28638,942.207946,951.345692,1031.027992,923.85568,1034.004704,1000.686724,1040.281914,11211.00806
2004,Brazil,1393.365326,1208.526471,1513.331823,1553.501827,1626.409625,2008.499737,2023.555196,1807.14181,2126.325143,2013.699611,1880.447989,2005.116366,21159.92092,1042.49573,1317.4445,1270.024756,1104.274051,1152.621375,1072.303333,1160.335783,1230.464995,1130.662096,1181.246407,1109.536097,1115.014229,13886.42335
2001,Australia,542,396.3,522.6,567.5,554.1,537.6,581.7,566.8,597.1,591.9,542.2,478,6477.8,856.5,922.3,990.3,875.9,881.8,927,890.2,891.3,883.7,936.7,879.1,995.7,10930.5
2002,Australia,533.4,397.4,462.4,580.6,582,513.9,629.7,570.8,559.1,565.8,496.2,587.5,6478.8,947.1,917,1049,954.6,1204.3,1140.6,1414.9,1027.5,1014.9,1139.2,984.9,1290.9,13084.9
2003,Australia,567.736059,387.543765,470.480077,517.94076,593.111869,488.299446,564.284756,636.924236,500.738888,564.812451,551.353943,570.436708,6413.662958,836.71885,1018.870778,992.261611,892.811543,1047.705674,1316.197409,1388.482203,1134.198559,1156.745899,1183.062374,1030.105748,1090.441696,13087.60234
2004,Australia,595.923137,446.698173,636.985713,523.063757,632.071754,606.367125,715.002309,658.690627,605.170437,666.92843,664.792661,793.806312,7545.500435,1028.842254,1067.490057,1187.910221,1064.82895,1216.266389,1100.770766,1253.206471,1197.724861,1164.94339,1268.175571,1188.757522,1218.983998,13957.90045
2001,Hong Kong,981.5,616.8,751.1,661.5,758.6,868.4,930.3,909.6,914.9,922.2,712,619.2,9646.1,1046.2,1169.6,1378.5,1317.3,1111.6,1295,1144.7,1162.3,1216.5,1063.9,1024.1,1097.8,14027.5
2002,Hong Kong,835.6,602.9,588.7,674.1,738.1,786.7,933.7,867.4,861.1,896.4,818,725.4,9328.1,899.8,911.2,1134.2,1042.7,1053.8,1134.6,1035.4,1112.5,1117,1009.2,1089.2,1054.7,12594.3
