"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","1996","970110","Paintings/drawings/pastels executed by hand","Export","8995","0","No Quantity","0"
"Albania","1996","970190","Collages, similar decorative plaques","Import","2257","0","No Quantity","0"
"Albania","1996","970190","Collages, similar decorative plaques","Export","6771","0","No Quantity","0"
"Albania","1996","970200","Original engravings, prints and lithographs","Import","1502","0","No Quantity","0"
"Albania","1996","970300","Original sculptures and statuary, in any material","Import","4034","0","No Quantity","0"
"Albania","1996","970300","Original sculptures and statuary, in any material","Export","4140","0","No Quantity","0"
"Albania","1996","970400","Used postage and revenue stamps, first day covers, et","Import","609","0","No Quantity","0"
"Albania","1996","970500","Collections and collectors pieces","Import","38","0","No Quantity","0"
"Albania","1996","970500","Collections and collectors pieces","Export","6612","0","No Quantity","0"
"Algeria","2013","970110","Paintings/drawings/pastels executed by hand","Import","41295","3102","Number of items","85"
"Algeria","2013","970110","Paintings/drawings/pastels executed by hand","Export","8384","323","Number of items","59"
"Algeria","2013","970190","Collages, similar decorative plaques","Import","109","16","Weight in kilograms","16"
"Algeria","2013","970190","Collages, similar decorative plaques","Export","223","11","Weight in kilograms","11"
"Algeria","2013","970300","Original sculptures and statuary, in any material","Import","10788","1330","Number of items","1"
"Algeria","2012","970110","Paintings/drawings/pastels executed by hand","Import","11468","1805","Number of items","880"
"Algeria","2012","970190","Collages, similar decorative plaques","Import","31","50","Weight in kilograms","50"
"Algeria","2012","970190","Collages, similar decorative plaques","Export","926","1","Weight in kilograms","1"
"Algeria","2012","970500","Collections and collectors pieces","Import","120","","No Quantity",""
"Algeria","2011","970110","Paintings/drawings/pastels executed by hand","Import","33856","5327","Number of items","4676"
"Algeria","2011","970190","Collages, similar decorative plaques","Import","2338","1000","Weight in kilograms","1000"
"Algeria","2011","970300","Original sculptures and statuary, in any material","Import","219434","6300","Number of items","3"
"Algeria","2010","970110","Paintings/drawings/pastels executed by hand","Import","2205","30","Number of items","4"
"Algeria","2010","970190","Collages, similar decorative plaques","Import","24336","7970","Weight in kilograms","7970"
"Algeria","2010","970190","Collages, similar decorative plaques","Export","547","15","Weight in kilograms","15"
"Algeria","2010","970300","Original sculptures and statuary, in any material","Import","35863","888","Number of items","29"
"Algeria","2010","970500","Collections and collectors pieces","Import","9828","1653","Weight in kilograms","1653"
"Algeria","2009","970110","Paintings/drawings/pastels executed by hand","Import","28098","3869","Number of items","314"
"Algeria","2009","970110","Paintings/drawings/pastels executed by hand","Export","701","5","Number of items","12"
"Algeria","2009","970190","Collages, similar decorative plaques","Import","7692","9640","Weight in kilograms","9640"
"Algeria","2009","970300","Original sculptures and statuary, in any material","Import","61918","2152","Number of items","4"
"Algeria","2008","970110","Paintings/drawings/pastels executed by hand","Import","31100","7354","Number of items","2399"
"Algeria","2008","970110","Paintings/drawings/pastels executed by hand","Export","929","1","Number of items","1"
"Algeria","2008","970190","Collages, similar decorative plaques","Import","23619","3017","Weight in kilograms","3017"
"Algeria","2008","970190","Collages, similar decorative plaques","Export","3954","86","Weight in kilograms","86"
"Algeria","2008","970200","Original engravings, prints and lithographs","Import","9427","","Number of items","855"
"Algeria","2008","970300","Original sculptures and statuary, in any material","Import","16675","1584","Number of items","203"
"Algeria","2008","970300","Original sculptures and statuary, in any material","Export","734","44","Number of items","36"
"Algeria","2008","970600","Antiques older than one hundred years","Import","499","483","Weight in kilograms","483"
"Algeria","2007","970110","Paintings/drawings/pastels executed by hand","Import","21691","6245","No Quantity",""
"Algeria","2007","970110","Paintings/drawings/pastels executed by hand","Export","5505","217","No Quantity",""
"Algeria","2007","970190","Collages, similar decorative plaques","Import","20785","34997","Weight in kilograms","34997"
"Algeria","2007","970190","Collages, similar decorative plaques","Export","4977","82","Weight in kilograms","82"
"Algeria","2006","970110","Paintings/drawings/pastels executed by hand","Import","20447","6021","Number of items","1095"
"Algeria","2006","970110","Paintings/drawings/pastels executed by hand","Export","1113","96","Number of items","58"
"Algeria","2006","970190","Collages, similar decorative plaques","Import","20795","9880","Weight in kilograms","9880"
"Algeria","2006","970190","Collages, similar decorative plaques","Export","2322","157","Weight in kilograms","157"
"Algeria","2006","970200","Original engravings, prints and lithographs","Import","7973","495","Number of items","14701"
"Algeria","2006","970300","Original sculptures and statuary, in any material","Import","921","350","Number of items","1"
"Algeria","2005","970110","Paintings/drawings/pastels executed by hand","Import","4036","4112","Number of items","1100"
"Algeria","2005","970110","Paintings/drawings/pastels executed by hand","Export","98","5","Number of items","23"
"Algeria","2005","970190","Collages, similar decorative plaques","Import","2256","3200","Weight in kilograms","3200"
"Algeria","2005","970190","Collages, similar decorative plaques","Export","982","77","Weight in kilograms","77"
