year,COUNTRY,I_1,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2004,Netherlands,853.430368,12450.52946,1634.91278,2015.788275,2088.288109,2140.614173,1988.579273,1927.620491,1768.190984,2027.502791,2078.832983,2243.937524,1924.830958,2300.602678,24139.70102
2001,Belgium,870.9,10158.4,1143.1,1142.9,1285.2,1205.1,1255.3,1171.9,995.5,1188.5,1046.2,1016.1,1063.6,989,13502.4
2002,Belgium,733.9,9806.7,959,1073.6,1097.9,1070.9,1128.4,1147.4,1085.8,1136.3,1119.7,1223.2,1259.1,1024.8,13326.1
2003,Belgium,774.570524,10140.82033,1222.693762,1328.570835,1295.471978,1198.294853,1318.4805,1392.64366,1184.184418,1201.664332,1223.919143,1360.873459,1246.804354,1262.452453,15236.05375
2004,Belgium,897.442116,12446.22916,1236.383591,1271.981412,1540.068338,1410.008883,1469.132137,1389.284016,1402.431399,1406.274888,1334.677075,1456.14125,1448.800636,1505.949824,16871.13345
2001,Brazil,1360,14466.3,1265.3,1169,1412.3,1294.8,1485.9,1514.4,1433.7,1476.2,1249.4,1134.4,1344.4,1099.6,15879.4
2002,Brazil,1093,15780.5,1016.1,1004.3,1075.5,1058.6,968.5,1017.2,970.4,1134,1052.5,1159.4,1037.4,882,12375.9
2003,Brazil,1434.333961,17910.336,809.298446,811.927089,936.9169,847.168592,882.28638,942.207946,951.345692,1031.027992,923.85568,1034.004704,1000.686724,1040.281914,11211.00806
2004,Brazil,1393.365326,21159.92092,1042.49573,1317.4445,1270.024756,1104.274051,1152.621375,1072.303333,1160.335783,1230.464995,1130.662096,1181.246407,1109.536097,1115.014229,13886.42335
2001,Australia,542,6477.8,856.5,922.3,990.3,875.9,881.8,927,890.2,891.3,883.7,936.7,879.1,995.7,10930.5
2002,Australia,533.4,6478.8,947.1,917,1049,954.6,1204.3,1140.6,1414.9,1027.5,1014.9,1139.2,984.9,1290.9,13084.9
2003,Australia,567.736059,6413.662958,836.71885,1018.870778,992.261611,892.811543,1047.705674,1316.197409,1388.482203,1134.198559,1156.745899,1183.062374,1030.105748,1090.441696,13087.60234
2004,Australia,595.923137,7545.500435,1028.842254,1067.490057,1187.910221,1064.82895,1216.266389,1100.770766,1253.206471,1197.724861,1164.94339,1268.175571,1188.757522,1218.983998,13957.90045
2001,Hong Kong,981.5,9646.1,1046.2,1169.6,1378.5,1317.3,1111.6,1295,1144.7,1162.3,1216.5,1063.9,1024.1,1097.8,14027.5
2002,Hong Kong,835.6,9328.1,899.8,911.2,1134.2,1042.7,1053.8,1134.6,1035.4,1112.5,1117,1009.2,1089.2,1054.7,12594.3
2003,Hong Kong,821.950431,8851.141559,946.864029,953.885268,1183.425062,1060.746519,1063.169888,1078.354222,1074.450961,1146.784892,1217.527145,1287.519446,1189.436564,1318.298416,13520.46241
2004,Hong Kong,805.82858,9313.897644,1072.414616,1258.768712,1384.796128,1267.370438,1263.421978,1331.429912,1337.468824,1338.802028,1430.506278,1402.641452,1300.195547,1439.53454,15827.35045
2001,Italy,2083.7,23789.7,918.2,889.1,967.6,791.7,841.4,807.7,719.8,735.4,723.9,960.8,769.9,790.3,9915.8
2002,Italy,1730,24220.5,713.6,796.9,884.8,824.2,932.6,775.2,835.8,822.7,679.2,977.3,913.7,900.7,10056.7
2003,Italy,2002.99333,25414.23353,956.283935,752.139327,848.91825,786.530748,1070.864075,866.390464,745.75597,735.729417,748.385668,1109.888738,961.13271,978.552842,10560.57214
2004,Italy,2002.786447,28097.27499,761.299965,773.215255,954.169391,1006.598491,1037.332734,869.722693,781.495951,734.120557,869.137939,962.453373,962.155412,973.037764,10684.73953
2001,Malaysia,1869.2,22340.3,899.3,778.1,1011.3,886.7,678.7,681.9,688.6,700.4,677.9,715.1,719.5,920.2,9357.7
2002,Malaysia,1774.6,24008.9,726.2,688.1,1252.9,960,855.7,1002.5,828.1,907.4,798,874.1,723,727.6,10343.6
2003,Malaysia,1890.837042,25440.20286,719.432737,689.279124,848.093179,917.353423,983.102449,896.277945,975.849664,912.827126,970.392615,997.977556,945.82067,1057.655223,10914.06171
2004,Malaysia,2111.647202,28178.86618,928.75111,907.69565,1019.803103,917.943986,920.437591,810.92503,854.987178,845.764439,872.138546,898.075957,878.825825,994.828497,10850.17691
2001,Switzerland,872.1,9669.6,934.6,1132.4,1173.8,1011.1,1236.2,980.1,486.1,514.9,400.9,650.4,706.6,580.2,9807.3
2002,Switzerland,595.5,9382.1,497.4,526.5,722.7,683.3,745.9,754,715.4,536.4,585.1,657.1,621.3,737.5,7782.6
2003,Switzerland,754.892041,10685.25363,641.798999,579.819041,702.717564,659.822026,683.642154,1104.890819,659.655245,845.068645,651.841871,757.793629,713.572312,655.75314,8656.375445
2004,Switzerland,788.044835,11627.72946,620.680548,615.725908,755.271464,748.103096,723.192021,983.518366,713.635847,764.915594,728.035412,813.306261,932.011556,881.532502,9279.928575
2001,Philippines,1102.7,11325.5,756.2,689.3,700,642.3,740.9,625.8,556.8,622.4,572.6,624.5,590.2,539,7660
2002,Philippines,861.2,10979.8,567.7,560.4,627.4,604.4,657.3,634.5,550.1,640.8,615.8,599.1,598.8,619.8,7276.1
2003,Philippines,897.313935,10059.03178,623.0529,651.439075,815.758673,620.98006,667.003518,622.208113,718.104985,689.560175,658.067611,618.958632,632.157172,670.007334,7987.298248
2004,Philippines,712.919675,9136.669506,601.281481,637.716154,718.585654,668.244092,629.632515,562.365838,578.2101,558.89529,571.566794,565.621745,552.676773,442.178173,7086.974609
2001,Spain,542,5197.3,459.2,529.7,617.3,420.1,491.2,505.3,314.4,427.5,488.7,525.2,522.4,455,5756
2002,Spain,436,5733.1,502.3,496,433.6,395.5,364.9,373.9,357.1,392.2,441,566.8,441.7,532.8,5297.8
2003,Spain,495.761684,6676.664019,471.68803,467.511073,480.076415,604.600284,426.031425,481.925149,416.520629,436.671598,425.478928,556.118171,660.979862,502.259473,5929.861037
2004,Spain,521.198088,7350.158929,562.171221,600.799218,602.885926,490.811143,482.21859,524.81327,575.393572,481.717349,480.219168,572.163424,603.322689,566.102999,6542.618569
2001,Israel,1112.5,11959.2,827.2,817.1,717.3,603.5,671.9,707.8,565.1,531.6,437.1,513.6,521.6,561.5,7475.3
2002,Israel,1101.8,12415.7,558.6,582.3,538.7,588.6,548.5,742.7,513.7,611.7,471.2,540.3,695,635.4,7026.7
2003,Israel,1255.227631,12768.5641,593.144925,574.18897,709.838414,522.125617,511.285086,550.705522,523.099105,544.61944,532.548012,508.979041,601.079718,720.437854,6892.051704
2004,Israel,1146.643996,14551.46859,571.172756,641.881339,699.423397,793.707677,688.618437,881.449767,740.779196,743.410429,814.104673,899.159996,804.689879,890.656015,9169.053561
