Botswana,66797331,88112318,114693404,169433503,235512893,274091111,296963130,382830782,455912766,594573127,852423393,974347887,853465104,926393354,969842620,837591558,1119259574,1541996035,1787998380,3020185206,3721284135,3867409908,4069182434,4082613650,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788311645,5489649947,5438851395,7511538765,8957491785,9931223496,10126990488,10939028155,11113042238,10106837286,13746712706,15292424757,14410979654
Brazil,35213857570,39331867588,50623841100,71672675416,91887958745,108051408879,127741369548,148671741472,168803353854,186095322489,191124804736,225557700609,238783475400,170392084891,175506749236,187426231446,225331911214,247124995809,276045813776,375485011471,402137201670,374152768046,358403948002,402175353102,573703865221,768951325826,839683613571,871200612250,843827605521,587122065744,644728923433,554187277450,506040513119,552383994851,663732894847,882043948604,1089254334215,1366853758020,1653538072819,1620165226994,2143035260499,2476651196353,2254109312134
British Virgin Islands,19827825,17119792,17873267,20231916,24189524,26574284,28968991,29950000,34790000,43400000,54170000,59230000,69720000,78570000,86300000,89880000,97820000,116660000,131140000,156200000,146381406,137180000,176050000,236160000,306880000,397000000,449000000,522000000,601000000,673000000,751000000,810000000,786000000,712000000,746000000,870000000,942000000,1011000000,992000000,876000000,894000000,916000000,909355000
Brunei Darussalam,202987473,223897088,306979916,490917492,1216925304,1324282758,1613024817,1964054012,2200846382,3178169118,5586842809,4949159649,4833509430,4357922904,4287555240,3993818604,2435454859,2797268101,2661962558,2985758297,3520486980,3701195334,4184861569,4105729444,4087219773,4734103536,5115454694,5196639067,4049948166,4599527618,6001287730,5600755697,5843330823,6557289225,7872201228,9531417150,11470487938,12247348940,14393508174,10732386753,12370504441,16691376640,16953952625
Bulgaria,9000000008,8897435905,10407407407,12408510650,13494845375,11908333333,12625000000,12908333333,13981716418,9343447807,10777792781,12365553273,13425230075,14435011735,15485837376,16387012246,17458338403,19058248681,21874778006,21956289869,20726027397,7607930235,8580153334,10803187299,9681283631,13069094969,8890133529,10053414261,13060799364,13237666972,12903962040,13868643030,15979386849,20668156953,25283085238,28894471667,33209898670,42115129632,51824222020,48569001736,47726844946,53544366879,50972125751
Burkina Faso,450092222,459453631,586671878,678906476,747779805,889552211,852962171,1030604827,1328172095,1782241534,1933165643,1791477576,1643151434,1501303340,1342096835,1568522911,2057309730,2394153141,2643024618,2642527923,3133314718,3167249552,3391284425,3232508008,1914845381,2403943866,2613101565,2472794485,2833694893,3012646768,2632700088,2834162162,3205592273,4205691122,4838551014,5462709055,5816310051,6755823933,8350710389,8348156389,8992678453,10279330443,10687288940
Burundi,239323997,246227670,240218856,297883407,337749415,404541262,445943490,529711743,598336769,773088978,927499620,968410276,1019451087,1079411334,981137724,1141982848,1202882020,1133130147,1061995553,1103422526,1119721085,1138327143,1059736447,952797172,1044633975,977790996,849296540,950838852,873470778,789861763,693066230,647357075,613887818,582005779,664499955,1117113080,1273375078,1356199387,1611835857,1792779507,2084475705,2295819699,2257478199
Cambodia,759784789,757817751,747389028,639370189,660940014,713755281,754516017,684791110,732798255,692083005,712394718,779483060,826975256,897799900,977461776,1054356410,1118901730,1399689797,1682542811,1741743758,1697719548,2248213477,2393653451,2433856452,2676188979,3309356001,3506718126,3443471826,3130078523,3512777995,3666637567,3991795046,4289402492,4664899329,5337889823,6293048259,7274501919,8639240662,10351917780,10401844097,11242278819,12829542935,14038383450
Cameroon,1156621841,1296801975,1672897552,2272203267,2426850409,3187407754,3472990861,4062315822,5347473380,7116016894,8868760273,8323281884,8351209499,8713915714,8583776602,8435863896,10314467435,11242980298,10990057742,10128780351,11845705581,11381001075,11600273942,12267004938,7113905216,8912611360,9547066975,9122907568,9827793616,10022114930,9287367567,9633109257,10879778328,13633845012,15775356737,16587857510,17953066391,20431781120,23322256428,23381142604,23623143191,26587310734,26093673599
Canada,87704843715,99043899647,112809253432,131071899287,160032631836,173405523935,206160715128,211155153265,218037191106,242580134225,273358378958,305746477890,313444558691,340314287922,353896839379,362964518169,375653832381,429023812367,506014287165,563643325192,592027597437,608249858167,590135886988,574845244686,575982660124,602003365051,626965056027,650993175006,631448136812,674310861427,739450949761,732735471853,752522910691,887782392036,1018386226695,1164179473990,1310795189078,1457872837626,1542560728745,1370839154047,1614072093764,1778632046933,1821445449562
