"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Albania","2005","780600","Articles of lead nes","Import","4531","3177","Weight in kilograms","3177"
"Albania","2005","780600","Articles of lead nes","Export","29168","29778","Weight in kilograms","29778"
"Albania","2005","780600","Articles of lead nes","Re-Export","29168","29778","Weight in kilograms","29778"
"Albania","2004","780110","Lead refined unwrought","Import","3619","3000","Weight in kilograms","3000"
"Albania","2004","780110","Lead refined unwrought","Export","952","27700","Weight in kilograms","27700"
"Albania","2004","780199","Lead unwrought nes","Export","80575","76950","Weight in kilograms","76950"
"Albania","2004","780200","Lead waste or scrap","Import","4151","29224","Weight in kilograms","29224"
"Albania","2004","780200","Lead waste or scrap","Export","289576","369700","Weight in kilograms","369700"
"Albania","2004","780300","Lead bars, rods, profiles and wire","Import","1376","1172","Weight in kilograms","1172"
"Albania","2004","780300","Lead bars, rods, profiles and wire","Export","162173","203213","Weight in kilograms","203213"
"Albania","2004","780419","Lead plates, sheet, strip","Import","32688","25698","Weight in kilograms","25698"
"Albania","2004","780419","Lead plates, sheet, strip","Export","22678","29400","Weight in kilograms","29400"
"Albania","2004","780600","Articles of lead nes","Import","9799","2127","Weight in kilograms","2127"
"Albania","2003","780110","Lead refined unwrought","Import","246","220","Weight in kilograms","220"
"Albania","2003","780110","Lead refined unwrought","Export","17816","25940","Weight in kilograms","25940"
"Albania","2003","780191","Lead unwrought containing mostly antimony","Export","14913","18600","Weight in kilograms","18600"
"Albania","2003","780199","Lead unwrought nes","Import","30740","18320","Weight in kilograms","18320"
"Albania","2003","780199","Lead unwrought nes","Export","112317","150830","Weight in kilograms","150830"
"Albania","2003","780200","Lead waste or scrap","Import","2052","42790","Weight in kilograms","42790"
"Albania","2003","780200","Lead waste or scrap","Export","138433","167384","Weight in kilograms","167384"
"Albania","2003","780411","Lead foil of a thickness <2mm","Import","21","50","Weight in kilograms","50"
"Albania","2003","780419","Lead plates, sheet, strip","Import","20410","28059","Weight in kilograms","28059"
"Albania","2003","780600","Articles of lead nes","Import","3232","2654","Weight in kilograms","2654"
"Albania","2002","780199","Lead unwrought nes","Import","357","1930","Weight in kilograms","1930"
"Albania","2002","780199","Lead unwrought nes","Export","10483","29770","Weight in kilograms","29770"
"Albania","2002","780200","Lead waste or scrap","Export","70760","201720","Weight in kilograms","201720"
"Albania","2002","780411","Lead foil of a thickness <2mm","Import","249","240","Weight in kilograms","240"
"Albania","2002","780419","Lead plates, sheet, strip","Import","5546","11445","Weight in kilograms","11445"
