"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Italy","2000","460199","Products of non-vegetable plaiting materials","Import","693025","454982","Weight in kilograms","454982"
"Italy","2000","460199","Products of non-vegetable plaiting materials","Export","171741","36633","Weight in kilograms","36633"
"Italy","2000","460210","Basketwork, wickerwork products of vegetable material","Import","35414947","13120914","Weight in kilograms","13120914"
"Italy","2000","460210","Basketwork, wickerwork products of vegetable material","Export","2785244","651744","Weight in kilograms","651744"
"Italy","2000","460290","Basketwork and wickerwork products, non-vegetable","Import","2314567","791158","Weight in kilograms","791158"
"Italy","2000","460290","Basketwork and wickerwork products, non-vegetable","Export","892606","114134","Weight in kilograms","114134"
"Italy","1999","460110","Plaits and products of plaiting materials","Import","783050","243594","Weight in kilograms","243594"
"Italy","1999","460110","Plaits and products of plaiting materials","Export","340007","30941","Weight in kilograms","30941"
"Italy","1999","460120","Mats, matting and screens, vegetable plaiting materia","Import","5538964","4951080","Weight in kilograms","4951080"
"Italy","1999","460120","Mats, matting and screens, vegetable plaiting materia","Export","290477","75803","Weight in kilograms","75803"
"Italy","1999","460191","Plaited vegetable material articles not mats or scree","Import","1477048","506371","Weight in kilograms","506371"
"Italy","1999","460191","Plaited vegetable material articles not mats or scree","Export","354462","6855","Weight in kilograms","6855"
"Italy","1999","460199","Products of non-vegetable plaiting materials","Import","676850","389036","Weight in kilograms","389036"
"Italy","1999","460199","Products of non-vegetable plaiting materials","Export","253020","38076","Weight in kilograms","38076"
"Italy","1999","460210","Basketwork, wickerwork products of vegetable material","Import","34735075","12366936","Weight in kilograms","12366936"
"Italy","1999","460210","Basketwork, wickerwork products of vegetable material","Export","3290396","457635","Weight in kilograms","457635"
"Italy","1999","460290","Basketwork and wickerwork products, non-vegetable","Import","2884218","759189","Weight in kilograms","759189"
"Italy","1999","460290","Basketwork and wickerwork products, non-vegetable","Export","1397697","132880","Weight in kilograms","132880"
"Italy","1998","460110","Plaits and products of plaiting materials","Import","675783","140640","Weight in kilograms","140640"
"Italy","1998","460110","Plaits and products of plaiting materials","Export","335750","27252","Weight in kilograms","27252"
"Italy","1998","460120","Mats, matting and screens, vegetable plaiting materia","Import","6868850","5564234","Weight in kilograms","5564234"
"Italy","1998","460120","Mats, matting and screens, vegetable plaiting materia","Export","243198","50603","Weight in kilograms","50603"
"Italy","1998","460191","Plaited vegetable material articles not mats or scree","Import","1648378","495302","Weight in kilograms","495302"
"Italy","1998","460191","Plaited vegetable material articles not mats or scree","Export","426861","27784","Weight in kilograms","27784"
"Italy","1998","460199","Products of non-vegetable plaiting materials","Import","712967","459265","Weight in kilograms","459265"
"Italy","1998","460199","Products of non-vegetable plaiting materials","Export","191090","28024","Weight in kilograms","28024"
"Italy","1998","460210","Basketwork, wickerwork products of vegetable material","Import","35354912","11578997","Weight in kilograms","11578997"
"Italy","1998","460210","Basketwork, wickerwork products of vegetable material","Export","3159577","429396","Weight in kilograms","429396"
"Italy","1998","460290","Basketwork and wickerwork products, non-vegetable","Import","2286159","635639","Weight in kilograms","635639"
"Italy","1998","460290","Basketwork and wickerwork products, non-vegetable","Export","1684235","209503","Weight in kilograms","209503"
"Italy","1997","460110","Plaits and products of plaiting materials","Import","770778","142237","Weight in kilograms","142237"
"Italy","1997","460110","Plaits and products of plaiting materials","Export","424315","47188","Weight in kilograms","47188"
"Italy","1997","460120","Mats, matting and screens, vegetable plaiting materia","Import","6355774","4883795","Weight in kilograms","4883795"
"Italy","1997","460120","Mats, matting and screens, vegetable plaiting materia","Export","409314","114949","Weight in kilograms","114949"
